Wavelength,counts
06344.2,000003
06344.5,000005
06344.8,000007
06345.1,000020
06345.4,000015
06345.7,000010
06346.0,000015
06346.3,000011
06346.6,000017
06346.9,000091
06347.2,000247
06347.5,000610
06347.8,001155
06348.1,001281
06348.4,002227
06348.7,013196
06349.0,026323
06349.3,033572
06349.6,038769
06349.9,043939
06350.2,053637
06350.5,054334
06350.8,053972
06351.1,035900
06351.4,042279
06351.7,019535
06352.0,003039
06352.3,003155
06352.6,004888
06352.9,002452
06353.2,000227
06353.5,000056
06353.8,000018
06354.1,000005
06354.4,000008
06354.7,000035
06355.0,000046
06355.3,000007
06355.6,000009
06355.9,000024
06356.2,000007
06356.5,000005
06356.8,000000
06357.1,000003
