wavelength,count
5030.6,0
5030.9,1
5031.2,0
5031.5,0
5031.8,0
5032.1,0
5032.4,1
5032.7,0
5033.0,1
5033.3,15
5033.6,372
5033.9,1910
5034.2,6109
5034.5,10079
5034.8,14210
5035.1,16804
5035.4,19469
5035.7,21056
5036.0,22528
5036.3,23754
5036.6,25560
5036.9,23831
5037.2,24359
5037.5,23418
5037.8,21562
5038.1,18845
5038.4,15713
5038.7,11651
5039.0,6931
5039.3,2872
5039.6,437
5039.9,40
5040.2,2
5040.5,4
5040.8,2
5041.1,2
5041.4,2
5041.7,1
5042.0,2
5042.3,1
5042.6,1
5042.9,1
5043.2,0
5043.5,0
