wavelength,count
4357.0,27
4357.2,33
4357.4,33
4357.6,41
4357.8,50
4358.0,66
4358.2,87
4358.4,204
4358.6,622
4358.8,2303
4359.0,6227
4359.2,10902
4359.4,15781
4359.6,19412
4359.8,21972
4360.0,23757
4360.2,25297
4360.4,26104
4360.6,26777
4360.8,26400
4361.0,26030
4361.2,24683
4361.4,23031
4361.6,20746
4361.8,18493
4362.0,15401
4362.2,12298
4362.4,8812
4362.6,5697
4362.8,3378
4363.0,1806
4363.2,808
4363.4,405
4363.6,194
4363.8,89
4364.0,56
4364.2,38
4364.4,35
4364.6,23
4364.8,18
